Date;rr
01/05/2018;2.0915
02/05/2018;0.5673
03/05/2018;0.0111
04/05/2018;0.0084
05/05/2018;0.0068
06/05/2018;19.6683
07/05/2018;5.9196
08/05/2018;19.281
09/05/2018;0.3399
10/05/2018;4.0627
11/05/2018;41.5325
12/05/2018;11.272
13/05/2018;6.1752
14/05/2018;3.3328
15/05/2018;10.7556
16/05/2018;1.1615
17/05/2018;12.8824
18/05/2018;1.8467
19/05/2018;26.3266
20/05/2018;1.4842
21/05/2018;6.4131
22/05/2018;0
23/05/2018;0
24/05/2018;0.6746
25/05/2018;12.5497
26/05/2018;5.7624
27/05/2018;15.8842
28/05/2018;1.3311
29/05/2018;1.6143
30/05/2018;0.556
31/05/2018;0.9814
01/06/2018;1.9363
02/06/2018;0.3135
03/06/2018;3.7967
04/06/2018;0.6424
05/06/2018;0.1271
06/06/2018;0.5807
07/06/2018;0.243
08/06/2018;0.1653
09/06/2018;0.1015
10/06/2018;0.0507
11/06/2018;1.7362
12/06/2018;0.2611
13/06/2018;3.9529
14/06/2018;0.2494
15/06/2018;1.2014
16/06/2018;2.5515
17/06/2018;0.0962
18/06/2018;0
19/06/2018;0.4074
20/06/2018;10.0412
21/06/2018;28.0351
22/06/2018;2.9841
23/06/2018;4.2607
24/06/2018;7.3013
25/06/2018;6.8398
26/06/2018;6.5476
27/06/2018;7.416
28/06/2018;0.8574
29/06/2018;7.7348
30/06/2018;1.6788
01/07/2018;0.7978
02/07/2018;7.6642
03/07/2018;17.809
04/07/2018;1.0559
05/07/2018;0.0055
06/07/2018;0
07/07/2018;0.6098
08/07/2018;0.3072
09/07/2018;0.0071
10/07/2018;0
11/07/2018;0.04
12/07/2018;0.9948
13/07/2018;0
14/07/2018;0.0437
15/07/2018;0.289
16/07/2018;0
17/07/2018;0
18/07/2018;0.039
19/07/2018;0.2924
20/07/2018;5.2424
21/07/2018;3.5931
22/07/2018;3.2612
23/07/2018;0.6409
24/07/2018;0.1675
25/07/2018;1.3326
26/07/2018;10.9778
27/07/2018;0.029
28/07/2018;0.0058
29/07/2018;0.1426
30/07/2018;8.6582
31/07/2018;0.5339
01/08/2018;0
02/08/2018;0
03/08/2018;0.0544
04/08/2018;0
05/08/2018;0
06/08/2018;0.0469
07/08/2018;2.4632
08/08/2018;0.122
09/08/2018;4.7843
10/08/2018;1.9354
11/08/2018;0.1581
12/08/2018;0.5301
13/08/2018;0.0481
14/08/2018;0.6593
15/08/2018;3.8022
16/08/2018;0.0767
17/08/2018;0.0405
18/08/2018;0.2866
19/08/2018;0
20/08/2018;0.0075
21/08/2018;0.6392
22/08/2018;0
23/08/2018;0.0487
24/08/2018;17.3933
25/08/2018;3.6351
26/08/2018;3.3637
27/08/2018;0.9182
28/08/2018;1.7943
29/08/2018;34.3764
30/08/2018;11.9004
31/08/2018;0.3546
01/09/2018;0.1188
02/09/2018;0.1455
03/09/2018;0.0385
04/09/2018;3.6837
05/09/2018;0.7999
06/09/2018;0.7543
07/09/2018;0.0343
08/09/2018;0.013
09/09/2018;1.2194
10/09/2018;1.0224
11/09/2018;0
12/09/2018;0
13/09/2018;0
14/09/2018;5.00E-04
